epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,621.058,0.45093,2.1996,1.04443,0,0,0,0,0,183.749,0,0.000368229,0.000368229,0.000368229
2,1270.41,0.50497,1.59108,1.06768,0,0,0,0,0,136.957,0,0.000723939,0.000723939,0.000723939
3,1860.72,0.53078,1.4484,1.06965,0,0,0,0,0,149.523,0,0.00106498,0.00106498,0.00106498
4,2438.39,0.5411,1.299,1.08699,0,0,0,0,0,148.367,0,0.00104501,0.00104501,0.00104501
5,3026.13,0.47875,1.17089,1.04602,0,0,0,0,0,119.826,0,0.00102301,0.00102301,0.00102301
6,3617.81,0.4577,1.12872,1.02353,0,0,0,0,0,125.378,0,0.00100101,0.00100101,0.00100101
7,4172.64,0.4344,0.99143,1.00925,0,0,0,0,0,118.599,0,0.000979013,0.000979013,0.000979013
