epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1117.2,0.50051,2.40494,1.07254,0.44223,0.58434,0.53779,0.46834,0.48464,2.21119,0.9326,0.000332579,0.000332579,0.000332579
2,-16162.3,0.53872,1.80255,1.07799,0.67942,0.58732,0.63077,0.53532,0.53705,1.85468,0.97705,0.000652727,0.000652727,0.000652727
3,-15460.9,0.54938,1.6568,1.07667,0.71885,0.59115,0.66363,0.59121,0.46961,1.49875,0.90244,0.000959676,0.000959676,0.000959676
