epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,643.402,0.50051,2.40494,1.07254,0.44223,0.58434,0.53779,0.46834,0.48464,2.21119,0.9326,0.000332579,0.000332579,0.000332579
2,1317.84,0.49341,1.74933,1.04993,0.63988,0.6132,0.68619,0.63099,0.4154,1.70193,0.84052,0.000446161,0.000446161,0.000446161
3,1998.05,0.4431,1.53627,1.01976,0.75137,0.67458,0.78805,0.73311,0.37648,1.39588,0.78265,0.000339744,0.000339744,0.000339744
